

 


   


Classifier: Naive Bayesian rRNA Classifier Version 1.0, November 2003
Taxonomical Hierarchy: The nomenclatural taxonomy of Garrity and Lilburn, release 6.0
Submit Date: Thu Dec 21 18:30:12 EST 2006
Confidence threshold: 80%
Symbol - after a sequence name indicates the results are obtained using reverse complement of that query sequence.
Lineage: Root(35)
Details:
ARCH_EURY_PICRO_PICRO_Picrophilus_torridus_DSM_9790;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermoplasmata; 100%; Thermoplasmatales; 100%; Picrophilaceae; 100%; Picrophilus; 100%
ARCH_EURY_TRMCC_PYROC_Pyrococcus_abyssi_GE5;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Pyrococcus; 100%
ARCH_EURY_TRMCC_PYROC_Pyrococcus_abyssi_str_ST546;Z70246;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Pyrococcus; 100%
ARCH_EURY_TRMCC_PYROC_Pyrococcus_furiosus;Pcfurios2;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Pyrococcus; 100%
ARCH_EURY_TRMCC_PYROC_Pyrococcus_furiosus_DSM_3638;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Pyrococcus; 100%
ARCH_EURY_TRMCC_PYROC_Pyrococcus_horikoshii_shinkaj_OT3;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Pyrococcus; 100%
ARCH_EURY_TRMCC_PYROC_Pyrococcus_horikoshii_str_JA-1;Pchoriksh;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Pyrococcus; 100%
ARCH_EURY_TRMCC_PYROC_Pyrococcus_horikoshii_str_OT3;AP000001;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Pyrococcus; 100%
ARCH_EURY_TRMCC_PYROC_Pyrococcus_sp;Pcsp2;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Pyrococcus; 100%
ARCH_EURY_TRMCC_PYROC_Pyrococcus_sp_str_KOD1;PcspKOD1;  ; Root; 100%; Archaea; 100%; Euryarchaeota; 100%; Thermococci; 100%; Thermococcales; 100%; Thermococcaceae; 100%; Thermococcus; 100%
ARCH_CREN_PYROD_PYDIC_Pyrodictium_occultum_str_PL-19_DSM_2709_TYPE;Pyroccult;  ; Root; 100%; Archaea; 100%; Crenarchaeota; 100%; Thermoprotei; 100%; Desulfurococcales; 100%; Pyrodictiaceae; 100%; Pyrodictium; 100%
ARCH_CREN_DSFCC_STAPH_Staphylothermus_achaiicus_str_P8(BK20S6-10-b1);AJ012645;  ; Root; 100%; Archaea; 100%; Crenarchaeota; 100%; Thermoprotei; 100%; Desulfurococcales; 100%; Desulfurococcaceae; 100%; Staphylothermus; 100%
ARCH_CREN_SULFO_SLFLO_Sulfolobus_acidocaldarius;Sulacald2;  ; Root; 100%; Archaea; 100%; Crenarchaeota; 100%; Thermoprotei; 100%; Sulfolobales; 100%; Sulfolobaceae; 100%; Sulfolobus; 100%
